title,line,syllable,length
1,3,ac,long
1,3,tem,long
1,3,pla,short
1,3,sum,long
1,3,mi,long
1,3,vi,short
1,3,du,short
1,3,ac,short
1,3,de,long
1,3,se,short
1,3,ru,short
1,3,i,elision
1,3,ae,long
1,3,the,short
1,3,ris,long
1,5,tel,long
1,5,lus,long
1,5,co,short
1,5,len,long
1,5,da,elision
1,5,est,long
1,5,pae,long
1,5,line,short
1,5,ces,long
1,5,cae,long
1,5,lum,long
1,5,te,short
1,5,nent,long
1,20,the,long
1,20,ba,long
1,20,na,short
1,20,tel,long
1,20,lus,long
1,20,ma,long
1,20,tri,short
1,20,bus,long
1,20,spar,long
1,20,sa,elision
1,20,im,long
1,20,pi,short
1,20,is,long
1,25,tar,long
1,25,dus,long
1,25,que,elision
1,25,e,long
1,25,o,short
1,25,o,short
1,25,phoe,long
1,25,bus,short
1,25,ef,long
1,25,ful,long
1,25,sit,long
1,25,ma,short
1,25,ri,long
1,26,re,short
1,26,ti,short
1,26,ne,long
1,26,re,short
1,26,mer,long
1,26,sum,long
1,26,ius,long
1,26,sus,short
1,26,o,long
1,26,ce,short
1,26,a,short
1,26,no,long
1,26,iu,short
1,26,bar,long
1,33,frac,long
1,33,tum,elision
1,33,at,long
1,33,que,elision
1,33,do,short
1,33,mi,short
1,33,tum,elision
1,33,est,long
1,33,su,short
1,33,pe,short
1,33,rat,short
1,33,et,long
1,33,cres,long
1,33,cit,long
1,33,ma,short
1,33,lis,long
1,35,me,short
1,35,a,short
1,35,ver,long
1,35,tit,short
1,35,o,long
1,35,di,short
1,35,a,short
1,35,dum,long
1,35,ni,short
1,35,mis,long
1,35,sae,long
1,35,va,elision
1,35,im,long
1,35,pe,short
1,35,ro,long
1,40,nar,long
1,40,ra,long
1,40,tur,short
1,40,or,long
1,40,be,short
1,40,mon,long
1,40,tra,short
1,40,iam,long
1,40,de,long
1,40,sunt,long
1,40,mi,short
1,40,hi,long
1,41,mi,long
1,41,nor,long
1,41,que,short
1,41,la,short
1,41,bor,short
1,41,est,long
1,41,her,long
1,41,cu,short
1,41,li,long
1,41,ius,long
1,41,sa,elision
1,41,ex,long
1,41,e,short
1,41,qui,long
1,46,le,short
1,46,on,long
1,46,e,elision
1,46,et,short
1,46,hy,long
1,46,dra,long
1,46,nec,long
1,46,sa,short
1,46,tis,long
1,46,ter,long
1,46,rae,long
1,46,pa,short
1,46,tent,long
1,47,ef,long
1,47,fre,long
1,47,git,short
1,47,ec,long
1,47,ce,long
1,47,li,long
1,47,men,short
1,47,in,long
1,47,fer,long
1,47,ni,long
1,47,io,short
1,47,vis,long
1,49,pa,long
1,49,rum,elision
1,49,est,long
1,49,re,short
1,49,ver,long
1,49,ti,long
1,49,foe,long
1,49,dus,short
1,49,um,long
1,49,bra,long
1,49,rum,long
1,49,pe,short
1,49,rit,long
1,50,vi,long
1,50,di,elision
1,50,ip,long
1,50,sa,short
1,50,vi,long
1,50,di,long
1,50,noc,long
1,50,te,short
1,50,dis,long
1,50,cus,long
1,50,sa,elision
1,50,in,long
1,50,fe,short
1,50,rum,short
1,52,fra,long
1,52,ter,long
1,52,na,short
1,52,cur,long
1,52,non,long
1,52,vinc,long
1,52,tum,elision
1,52,et,short
1,52,op,long
1,52,pres,long
1,52,sum,long
1,52,tra,short
1,52,hit,long
1,55,pa,short
1,55,te,short
1,55,fac,long
1,55,ta,elision
1,55,ab,short
1,55,i,long
1,55,mis,long
1,55,ma,long
1,55,ni,short
1,55,bus,long
1,55,re,long
1,55,tro,long
1,55,vi,short
1,55,a,elision
1,55,est,long
