author,text,line,syllable,length
,,1,ar,1
,,1,ma,0
,,1,vi,0
,,1,rum,1
,,1,que,0
,,1,ca,0
,,1,no,1
,,1,troi,1
,,1,ae,1
,,1,qui,1
,,1,pri,1
,,1,mus,0
,,1,ab,0
,,1,o,1
,,1,ris,1
,,2,i,1
,,2,ta,0
,,2,li,0
,,2,am,1
,,2,fa,1
,,2,to,1
,,2,pro,0
,,2,fu,0
,,2,gus,1
,,2,la,1
,,2,vin,1
,,2,ja,0
,,2,que,0
,,2,ve,1
,,2,nit,1
,,3,li,1
,,3,to,0
,,3,ra,0
,,3,mul,1
,,3,tum,-1
,,3,il,1
,,3,le,-1
,,3,et,1
,,3,ter,1
,,3,ris,1
,,3,jac,1
,,3,ta,1
,,3,tus,0
,,3,et,0
,,3,al,1
,,3,to,1
,,4,vi,1
,,4,su,0
,,4,per,0
,,4,um,1
,,4,sae,1
,,4,vae,1
,,4,me,0
,,4,mo,0
,,4,rem,1
,,4,ju,1
,,4,no,1
,,4,nis,0
,,4,ob,0
,,4,i,1
,,4,ram,1
